Source,Target,Association
arcgis/SB1/BuildingCA_Reference/3,arcgis/SB1/BuildingCA_Reference/3/HQSB1.Assembly_Districts.AREA,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/3,arcgis/SB1/BuildingCA_Reference/3/DATA,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/3,arcgis/SB1/BuildingCA_Reference/3/DISTRICT,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/3,arcgis/SB1/BuildingCA_Reference/3/NAME,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/3,arcgis/SB1/BuildingCA_Reference/3/POP,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/3,arcgis/SB1/BuildingCA_Reference/3/Rep,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/3,arcgis/SB1/BuildingCA_Reference/3/RepUpdate,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/3,arcgis/SB1/BuildingCA_Reference/3/Offshore,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/3,arcgis/SB1/BuildingCA_Reference/3/Shape,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/3,arcgis/SB1/BuildingCA_Reference/3/Shape.STArea(),esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/3,arcgis/SB1/BuildingCA_Reference/3/Shape.STLength(),esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference,arcgis/SB1/BuildingCA_Reference/4,esri.arcgis.custom.MapServerContainsLayer
arcgis/SB1/BuildingCA_Reference/4,arcgis/SB1/BuildingCA_Reference/4/OBJECTID,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/4,arcgis/SB1/BuildingCA_Reference/4/District,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/4,arcgis/SB1/BuildingCA_Reference/4/Shape,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/4,arcgis/SB1/BuildingCA_Reference/4/Shape.STArea(),esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/4,arcgis/SB1/BuildingCA_Reference/4/Shape.STLength(),esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference,arcgis/SB1/BuildingCA_Reference/5,esri.arcgis.custom.MapServerContainsLayer
arcgis/SB1/BuildingCA_Reference/5,arcgis/SB1/BuildingCA_Reference/5/OBJECTID,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/5,arcgis/SB1/BuildingCA_Reference/5/District,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/5,arcgis/SB1/BuildingCA_Reference/5/Shape,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/5,arcgis/SB1/BuildingCA_Reference/5/Shape.STArea(),esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/5,arcgis/SB1/BuildingCA_Reference/5/Shape.STLength(),esri.arcgis.custom.LayerContainsField
arcgis/SB1,arcgis/SB1/ePPR_Project_Ref_Layer,esri.arcgis.custom.FolderToFeatureServer
arcgis/SB1/ePPR_Project_Ref_Layer,arcgis/SB1/ePPR_Project_Ref_Layer/0,esri.arcgis.custom.FeatureServerContainsLayer
arcgis/SB1/ePPR_Project_Ref_Layer/0,arcgis/SB1/ePPR_Project_Ref_Layer/0/OBJECTID_1,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/0,arcgis/SB1/ePPR_Project_Ref_Layer/0/OBJECTID,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/0,arcgis/SB1/ePPR_Project_Ref_Layer/0/BEGIN_MP,esri.arcgis.custom.LayerContainsField
