core.externalId,core.name,core.description,core.businessDescription,core.businessName,core.reference,esri.arcgis.custom.Type,esri.arcgis.custom.alias,esri.arcgis.custom.defaultValue,esri.arcgis.custom.domain,esri.arcgis.custom.editable,esri.arcgis.custom.modelName,esri.arcgis.custom.nullable,core.Position
arcgis/CHaviation/Military_Airport/0/LATITUDE,LATITUDE,,,,FALSE,esriFieldTypeString,LATITUDE,,,,,,18
arcgis/CHaviation/Military_Airport/0/LONGITUDE,LONGITUDE,,,,FALSE,esriFieldTypeString,LONGITUDE,,,,,,19
arcgis/CHaviation/Military_Airport/0/LATDD,LATDD,,,,FALSE,esriFieldTypeDouble,LATDD,,,,,,20
arcgis/CHaviation/Military_Airport/0/LONGDD,LONGDD,,,,FALSE,esriFieldTypeDouble,LONGDD,,,,,,21
arcgis/CHaviation/Military_Airport/0/SHAPE,SHAPE,,,,FALSE,esriFieldTypeGeometry,SHAPE,,,,,,22
arcgis/CHaviation/Public_Airport/0/OBJECTID,OBJECTID,,,,FALSE,esriFieldTypeOID,OBJECTID,,,False,OBJECTID,False,1
arcgis/CHaviation/Public_Airport/0/FACILITY,FACILITY,,,,FALSE,esriFieldTypeString,FACILITY,,,True,FACILITY,True,2
arcgis/CHaviation/Public_Airport/0/MAPLABEL,MAPLABEL,,,,FALSE,esriFieldTypeString,MAPLABEL,,,True,MAPLABEL,True,3
arcgis/CHaviation/Public_Airport/0/AIRPORTID,AIRPORTID,,,,FALSE,esriFieldTypeString,AIRPORTID,,,True,AIRPORTID,True,4
arcgis/CHaviation/Public_Airport/0/CITY,CITY,,,,FALSE,esriFieldTypeString,CITY,,,True,CITY,True,5
arcgis/CHaviation/Public_Airport/0/COUNTY,COUNTY,,,,FALSE,esriFieldTypeString,COUNTY,,,True,COUNTY,True,6
arcgis/CHaviation/Public_Airport/0/FNCTNLCLSS,FNCTNLCLSS,,,,FALSE,esriFieldTypeString,FNCTNLCLSS,,,True,FNCTNLCLSS,True,7
arcgis/CHaviation/Public_Airport/0/STATECLASS,STATECLASS,,,,FALSE,esriFieldTypeString,STATECLASS,,,True,STATECLASS,True,8
arcgis/CHaviation/Public_Airport/0/FAASRVCLVL,FAASRVCLVL,,,,FALSE,esriFieldTypeString,FAASRVCLVL,,,True,FAASRVCLVL,True,9
arcgis/CHaviation/Public_Airport/0/FAASITENO,FAASITENO,,,,FALSE,esriFieldTypeString,FAASITENO,,,True,FAASITENO,True,10
arcgis/CHaviation/Public_Airport/0/DISTRICT,DISTRICT,,,,FALSE,esriFieldTypeInteger,DISTRICT,,,True,DISTRICT,True,11
arcgis/CHaviation/Public_Airport/0/MANAGER,MANAGER,,,,FALSE,esriFieldTypeString,MANAGER,,,True,MANAGER,True,12
arcgis/CHaviation/Public_Airport/0/MNGREMAIL,MNGREMAIL,,,,FALSE,esriFieldTypeString,MNGREMAIL,,,True,MNGREMAIL,True,13
arcgis/CHaviation/Public_Airport/0/PHONE,PHONE,,,,FALSE,esriFieldTypeString,PHONE,,,True,PHONE,True,14
arcgis/CHaviation/Public_Airport/0/F5010URL,F5010URL,,,,FALSE,esriFieldTypeString,F5010URL,,,True,F5010URL,True,15
arcgis/CHaviation/Public_Airport/0/LATDD,LATDD,,,,FALSE,esriFieldTypeDouble,LATDD,,,True,LATDD,True,16
arcgis/CHaviation/Public_Airport/0/LONGDD,LONGDD,,,,FALSE,esriFieldTypeDouble,LONGDD,,,True,LONGDD,True,17
arcgis/CHaviation/Public_Airport/0/LATDMS,LATDMS,,,,FALSE,esriFieldTypeString,LATDMS,,,True,LATDMS,True,18
arcgis/CHaviation/Public_Airport/0/PMTLAT,PMTLAT,,,,FALSE,esriFieldTypeString,PMTLAT,,,True,PMTLAT,True,19
arcgis/CHaviation/Public_Airport/0/LONGDMS,LONGDMS,,,,FALSE,esriFieldTypeString,LONGDMS,,,True,LONGDMS,True,20
arcgis/CHaviation/Public_Airport/0/ARPLATDMS,ARPLATDMS,,,,FALSE,esriFieldTypeString,ARPLATDMS,,,True,ARPLATDMS,True,21
